name,slug,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
Motor Mount,Motor_Mount,Mount for TT Gearbox DC Motors - L-Bracket Type with hardware,2,/boxes/robotics/,https://www.adafruit.com/product/3768,Large (100),25,25,25,1.5,1.5,0,0
DC Gearbox Motor,DC_Gearbox_Motor,TT Gearbox DC Motor - 200RPM - 3 to 6VDC and wheel,2,/boxes/control/,https://www.amazon.co.uk/AEDIKO-Motor-Gearbox-Shaft-200RPM/dp/B09V7QH1S8,Large (100),130,70,30,4.0,2.5,0,0
