name,slug,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
Microcontroller,Microcontroller,Arduino Nano (rev.3),1,/boxes/computers/_resources/datasheets/arduino_nano_rev3.pdf,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691,Medium (011),82,60,25,18.516,18.516,0,6
Piezo Buzzer,Piezo_Buzzer,Piezoelectric speaker/transducer,1,/boxes/computers/_resources/datasheets/piezo_buzzer.pdf,https://uk.farnell.com/tdk/ps1240p02bt/piezoelectric-buzzer-4khz-70dba/dp/3267212,Passive Electronics,30,30,1,0.4296,0.3576,63,0
Cable (MiniUSB-1m),Cable_MiniUSB_1m,Mini-USB to Type-A cable (1 m),1,/boxes/computers/,https://www.amazon.co.uk/gp/product/B07FWF2KBF,Cables (001),100,50,15,3.24,1.94,0,0
