Part,Description,Quantity,Package,#Kits,#Required,#Available,#Order,#Ordered,Supplier,x(mm),y(mm),z(mm)
Gate (AND),4xAND gate,1.0,Active,15,15,0,0,0,https://uk.farnell.com/texas-instruments/cd4081be/ic-4000-cmos-4081-dip14-18v/dp/3120147,10.0,20.0,8.0
Gate (OR),4xOR gate,1.0,Active,15,15,0,0,0,https://uk.farnell.com/texas-instruments/cd4072be/ic-gate/dp/3120138,10.0,20.0,8.0
Gate (NOR),4xNOR gate,1.0,Active,15,15,0,0,0,https://uk.farnell.com/texas-instruments/cd4001be/ic-nor-quad-4000-cmos-14dip/dp/3120100,10.0,20.0,8.0
Gate (NAND),4xNAND gate,2.0,Active,15,30,0,0,0,https://uk.farnell.com/texas-instruments/cd4011be/ic-4000-cmos-4011-dip14-18v/dp/3120113,10.0,20.0,8.0
Diode,IN4001,2.0,Active,15,30,0,0,0,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986,40.0,5.0,3.0
MOSFET,Power MOSFET/N-channel (IRF510),2.0,Active,15,30,0,0,0,https://uk.farnell.com/vishay/irf510pbf/mosfet-n-100v-5-6a-to-220ab/dp/1653658,40.0,15.0,4.0
Comparator,LM339 (DIP-14),2.0,Active,15,30,0,0,0,https://uk.farnell.com/texas-instruments/lm2901n/ic-comparator-quad-2901-dip14/dp/3118410,7.0,6.0,5.0
LED (Blue),Low power blue light emitting diode,2.0,Active,15,30,0,0,0,https://uk.farnell.com/broadcom-limited/hlmp-ka45-e0000/led-3mm-blue-85mcd-470nm/dp/1863182,40.0,5.0,3.0
LED (Green),3 mm/2 mA green LED,4.0,Active,15,60,0,0,0,https://uk.farnell.com/broadcom-limited/hlmp-1790/led-3mm-green-2-3mcd-569nm/dp/1003209,50.0,5.0,3.0
Gate (XOR),4xXOR gate,1.0,Active,15,15,0,0,0,https://uk.farnell.com/texas-instruments/cd4070be/ic-4000-cmos-4070-dip14-18v/dp/3120134,10.0,20.0,8.0
LED (IR),Low power IR light emitting diode,2.0,Active,15,30,0,0,0,https://uk.farnell.com/vishay/tsal6100/infrared-emitter-940nm-t-1-3-4/dp/1328299,40.0,5.0,3.0
H-bridge,H-bridge motor driver (SN754410NE),2.0,Active,15,30,0,0,0,https://uk.farnell.com/texas-instruments/sn754410ne/ic-peripheral-driver-half-h-1a/dp/3118977,8.0,25.0,6.0
