Part,Description,Quantity,Package,#Kits,#Required,#Available,#Order,#Ordered,Supplier,x(mm),y(mm),z(mm)
Battery holder,4xAA battery holder with ON-OFF switch,1.0,Loose,15,15,0,0,0,https://www.amazon.co.uk/gp/product/B0814ZH68F,65.0,70.0,20.0
Breadboard (400),400-tie solderless breadboard,1.0,Loose,15,15,0,0,0,https://www.amazon.co.uk/gp/product/B0739XRX8F,85.0,60.0,10.0
Breadboards (170),170-tie solderless breadboard,4.0,Loose,15,60,0,0,0,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7,35.0,50.0,10.0
Cable (Mini-USB/20cm),Short mini-USB to Type-A cable (20 cm),1.0,Loose,15,15,0,0,0,https://www.amazon.co.uk/LINDY-0-2-Type-Mini-B-Cable/dp/B01IZ4VFCO,100.0,25.0,10.0
Jumper Wires,Assorted 22 AWG jumper wire leads (male/female),1.0,Loose,15,15,0,0,0,https://www.amazon.co.uk/240pcs-Solderless-Breadboard-Arduino-Project/dp/B08PJSTS3C,200.0,40.0,10.0
Cable (MiniUSB-1m),Mini-USB to Type-A cable (1 m),1.0,Loose,15,15,0,0,0,https://uk.farnell.com/molex/88732-8602/usb-cable-2-0-plug-plug-1m/dp/1221071,100.0,50.0,15.0
Velcro Patch,Velcro adhesive,1.0,Loose,15,15,0,0,0,,50.0,75.0,4.0
Camera (RPi v3),RPi color camera with auto-focus (version 3),1.0,Loose,15,15,0,0,0,https://uk.farnell.com/raspberry-pi/sc0872/rpi-camera-mod-3-standard-lens/dp/4132318,120.0,75.0,23.0
Heatsinks,Heatsinks for RPi 4b chips,1.0,Loose,15,15,0,0,0,https://www.amazon.co.uk/gp/product/B07VRNT3HX,40.0,20.0,10.0
Caster,¾” metal ball caster,1.0,Loose,15,15,0,0,0,https://www.hobbytronics.co.uk/ball-caster-metal?keyword=caster,70.0,50.0,20.0
DC Brushed Motor,6V Brushed DC motor,1.0,Loose,15,15,0,0,0,https://www.amazon.co.uk/Gikfun-1V-6V-Hobby-Arduino-EK1894/dp/B07BHHP2BT,20.0,40.0,15.0
Computer (RPi4),Raspberry Pi 4b with 2 GB RAM,1.0,Loose,15,15,0,0,0,https://uk.farnell.com/raspberry-pi/rpi4-modbp-2gb/raspberry-pi-4-model-b-2gb/dp/3051886,95.0,70.0,26.0
Magnet,Neodymium disc (8 mm x 3 mm),2.0,Magnets,15,30,0,0,0,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,20.0,20.0,5.0
Speaker Mount,Custom laser cut mount for speaker,1.0,Mounts,15,15,0,0,0,VK,75.0,20.0,5.0
Spacer,NB3 spacer 3 mm spacer for mounting ball caster,5.0,Mounts,15,75,0,0,0,VK,25.0,25.0,5.0
Servo Mount,Mount for servo motor,2.0,Mounts,15,30,0,0,0,VK,30.0,15.0,5.0
NB3 Camera Mount,Custom laser cut mount for RPi camera,1.0,Mounts,15,15,0,0,0,VK,40.0,30.0,5.0
NB3 Cortex Mount,Custom laser cut holder for NPU,1.0,Mounts,15,15,0,0,0,VK,75.0,65.0,5.0
Rubber feet,Adhesive rubber standoffs (1421T6CL),4.0,Passive,15,60,0,0,0,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,20.0,20.0,4.0
Resistor (470),470 &Omega;/0.25 W,1.0,Passive,15,15,0,0,0,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,50.0,5.0,3.0
Resistor (330),330 &Omega;/0.25 W,4.0,Passive,15,60,0,0,0,https://uk.farnell.com/multicomp/mf25-2k4/res-2k4-1-250mw-axial-metal-film/dp/9341595,50.0,5.0,3.0
Resistor (10k),10 k&Omega;/0.25 W,2.0,Passive,15,30,0,0,0,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,50.0,5.0,3.0
Potentiometer,2.2 k&Omega; variable resistor,2.0,Passive,15,30,0,0,0,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,5.0,5.0,3.0
Magnet Wire,Narrow gaurge epoxy insulated (1 m),1.0,Passive,15,15,0,0,0,https://www.amazon.co.uk/Enameled-Magnet-Soldering-Winding-Enamelled/dp/B07N65LRVD,30.0,30.0,20.0
Piezo Buzzer,Piezoelectric speaker/transducer,1.0,Passive,15,15,0,0,0,https://uk.farnell.com/tdk/ps1240p02bt/piezoelectric-buzzer-4khz-70dba/dp/3267212,30.0,30.0,1.0
Photoresistor (LDR),Light-dependent resistor (GL5516 and GL5528),8.0,Passive,15,120,0,0,0,https://www.amazon.co.uk/Resistor-Dependent-Photoresistor-Sensitive-Sensors/dp/B08SC1M7V7,50.0,10.0,3.0
NB3 Power Board,Regulated DC-DC power supply (5 Volts - 4 Amps),1.0,Power,15,15,0,0,0,VK,50.0,50.0,15.0
Power Cable,Custom 4 pin NB3 power connector cable,1.0,Power,15,15,0,0,0,VK,50.0,10.0,5.0
