Atoms,30.111,49.084,ffffff
Electrons,43.056,51.834,ffffff
Magnets,45.286,42.81,ffffff
Light,56.432,48.147,ffffff
Sensors,51.633,40.232,ffffff
Motors,60.73,43.465,000000
Transistors,68.113,51.489,ffffff
Amplifiers,71.266,40.664,ffffff
Circuits,67.657,33.046,ffffff
Power,62.446,28.572,ffffff
Data,57.531,24.627,ffffff
Logic,48.949,22.757,ffffff
Memory,54.655,35.185,ffffff
FPGAs,44.271,31.576,000000
Computers,39.46,21.821,ffffff
Control,29.438,23.826,ffffff
Robotics,34.347,33.227,ffffff
Systems,28.536,37.456,ffffff
Linux,21.519,26.498,ffffff
Python,15.807,31.443,000000
Networks,12.733,36.922,ffffff
Websites,15.807,43.47,ffffff
Servers,48.552,58.843,ffffff
Security,64.787,56.432,ffffff
Audio,55.365,61.345,000000
Vision,60.08,67.178,ffffff
Learning,32.286,42.81,000000
Intelligence,22.05,46.314,ffffff
