name,slug,depth,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
Camera (RPi v3),Camera__RPi_v3_,01,RPi color camera with auto-focus (version 3),1,/boxes/vision/_resources/datasheets/rpi_camera_v3.pdf,https://uk.farnell.com/raspberry-pi/sc0872/rpi-camera-mod-3-standard-lens/dp/4132318,Loose,120,75,23,23.808,23.808,0,0
NB3 Camera Mount,NB3_Camera_Mount,01,Custom laser cut mount for RPi camera,1,/boxes/vision/NB3_camera_mount,VK,Mounts,40,30,5,3.0,1.0,0,0
NB3 Cortex Mount,NB3_Cortex_Mount,01,Custom laser cut holder for NPU,1,/boxes/vision/NB3_cortex_mount,VK,Mounts,75,65,5,4.0,2.0,0,0
M2.5 bolt (6),M2_5_bolt__6_,01,6 mm long M2.5 bolt,4,/boxes/robotics/,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2,Hardware,5,5,6,0.15,0.04,0,0
M2.5 standoff (20/PS),M2_5_standoff__20_PS_,01,20 mm long plug-to-socket M2.5 standoff,4,/boxes/vision/,https://uk.farnell.com/wurth-elektronik/971200151/standoff-hex-male-female-20mm/dp/2884418,Hardware,5,5,20,0.6624,0.534,0,0
M3 nut (square),M3_nut__square_,01,square M3 nut 1.8 mm thick,1,/boxes/audio/-,https://www.accu.co.uk/flat-square-nuts/21326-HFSN-M3-A2,Hardware,5,5,3,0.16,0.05,0,0
M3 bolt (12),M3_bolt__12_,01,12 mm long M3 bolt,1,/boxes/vision/,https://www.accu.co.uk/pozi-pan-head-screws/500116-SPP-M3-12-ST-BZP,Hardware,5,5,12,0.14,0.03,0,0
M2 bolt (8),M2_bolt__8_,01,8 mm long M2 bolt,4,/boxes/audio/,https://www.accu.co.uk/pozi-pan-head-screws/500101-SPP-M2-8-ST-BZP,Hardware,5,5,8,0.14,0.03,0,0
M2 nut,M2_nut,01,regular M2 nut,4,/boxes/audio/,https://www.accu.co.uk/hexagon-nuts/456429-HPN-M2-C8-Z,Hardware,5,5,3,0.14,0.03,0,0
