Atoms,31.111,50.084,13.0,13.0,0.5,FFFFFF,000000,0
Electrons,44.056,52.834,13.0,13.0,0.5,FFFFFF,000000,0
Magnets,45.787,43.81,13.0,13.0,0.5,FFFFFF,000000,0
Light,57.432,49.147,13.0,13.0,0.5,FFFFFF,000000,0
Sensors,52.633,41.232,13.0,13.0,0.5,FFFFFF,000000,0
Motors,61.73,44.465,13.0,13.0,0.5,000000,000000,0
Transistors,69.113,52.489,13.0,13.0,0.5,FFFFFF,000000,0
Amplifiers,72.266,41.664,13.0,13.0,0.5,FFFFFF,000000,0
Circuits,68.657,34.046,13.0,13.0,0.5,FFFFFF,000000,0
Power,63.446,29.572,13.0,13.0,0.5,FFFFFF,000000,0
Data,58.531,25.627,13.0,13.0,0.5,FFFFFF,000000,0
Logic,49.949,23.757,13.0,13.0,0.5,FFFFFF,000000,0
Memory,55.655,36.185,13.0,13.0,0.5,FFFFFF,000000,0
FPGAs,45.271,32.576,13.0,13.0,0.5,000000,000000,0
Computers,40.46,22.821,13.0,13.0,0.5,FFFFFF,000000,0
Control,30.438,24.826,13.0,13.0,0.5,FFFFFF,000000,0
Robotics,35.347,34.227,13.0,13.0,0.5,FFFFFF,000000,0
Systems,29.536,38.456,13.0,13.0,0.5,FFFFFF,000000,0
Linux,22.519,27.498,13.0,13.0,0.5,FFFFFF,000000,0
Python,16.807,32.443,13.0,13.0,0.5,000000,000000,0
Networks,13.733,37.922,13.0,13.0,0.5,FFFFFF,000000,0
Websites,16.807,44.47,13.0,13.0,0.5,FFFFFF,000000,0
Servers,49.552,59.843,13.0,13.0,0.5,FFFFFF,000000,0
Security,65.787,57.432,13.0,13.0,0.5,FFFFFF,000000,0
Audio,56.365,62.345,13.0,13.0,0.5,000000,000000,0
Vision,61.08,68.178,13.0,13.0,0.5,FFFFFF,000000,0
Learning,23.05,47.314,13.0,13.0,0.5,FFFFFF,000000,0
Intelligence,32.787,43.81,13.0,13.0,0.5,000000,000000,0
