name,slug,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
Magnet Wire,Magnet_Wire,Narrow gauge epoxy insulated (1 m),1,/boxes/magnets/,https://www.amazon.co.uk/sourcing-map-Enameled-Transformers-Inductors/dp/B0CYP8L4L1,Passive Electronics,30,30,20,12.59,0.1259,0,0
Magnet,Magnet,Neodymium disc (8 mm x 3 mm),4,/boxes/magnets/,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,Auxiliary,20,20,5,0.5136,0.4416,0,0
USB Sound Card,USB_Sound_Card,USB to 3.5 mm Audio out/in,1,/boxes/magnets/,https://www.amazon.co.uk/UGREEN-USB-C-3-5mm-Female-Adapter-dp-B08TR7LWQH/dp/B08TR7LWQH,Auxiliary,150,90,15,8.98,8.98,6,7
Stereo Plug Terminal,Stereo_Plug_Terminal,3.5 mm plug to screw terminal,2,/boxes/magnets/,https://www.amazon.co.uk/dp/B07MNYBFL9,Auxiliary,40,20,15,2.0,1.0,22,0
