name,slug,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
Battery,Battery,NiMH 9.6V 8-cell 2000 mAh battery,1,/boxes/power/,https://www.amazon.co.uk/dp/B091H9ZFSF,Auxiliary,100,60,15,16.99,16.99,1,0
Battery Cable,Battery_Cable,Barrel Jack to Tamiya Plug,1,/boxes/power/,VK,Cables (001),100,15,15,5.0,2.0,14,0
Battery Charger,Battery_Charger,NiMH battery charger (UK plug),1,/boxes/power/,https://www.amazon.co.uk/dp/B089VRXKWY,Auxiliary,90,90,70,15.99,15.99,0,0
Velcro Patch,Velcro_Patch,Velcro adhesive,1,/boxes/power/,https://www.amazon.co.uk/50mmx100mm-Adhesive-Strips%EF%BC%8CExtra-Mounting-Organizing/dp/B0CKVNM69R,Medium (011),50,75,4,2.0,0.5,25,0
