name,slug,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
Capacitor (small),Capacitor_small,0.1 uF ceramic capacitor,1,/boxes/electrons/_resources/datasheets/capacitor_ceramic.pdf,https://uk.farnell.com/kemet/c322c104k1r5ta/cap-0-1-f-100v-10-x7r/dp/1457685,Passive Electronics,50,2,2,0.3732,0.3012,0,0
Capacitor (large),Capacitor_large,100 uF aluminum electrolytic capacitor,1,/boxes/electrons/_resources/datasheets/capacitor_electrolytic.pdf,https://uk.farnell.com/rubycon/16zlh100mefc5x11/cap-100-f-16v-20/dp/8126283,Passive Electronics,50,4,4,0.09,0.0504,0,0
