name,slug,depth,description,quantity,package,datasheet,supplier,x,y,z,unit_price,bulk_price,new,used
Cable (MiniUSB-20cm),Cable__MiniUSB_20cm_,01,Short mini-USB to Type-A cable (20 cm),1,Cables,/boxes/networks/,https://www.amazon.co.uk/gp/product/B07FW69HNT,100,25,10,3.02,1.58,0,0
Jumper Wires,Jumper_Wires,01,Assorted 22 AWG jumper wire leads (male/female),1,Cables,/boxes/electrons/_resources/datasheets/jumper_wires.pdf,https://www.amazon.co.uk/gp/product/B09KR7Z4PF,200,40,10,4.0,3.75,50,20
Test Lead,Test_Lead,01,Alligator clip to 0.64 mm pin (20 cm),2,Cables,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B096JR15JW,220,20,10,1.5,0.85,132,1
M2 bolt (8),M2_bolt__8_,01,8 mm long M2 bolt,6,Hardware,/boxes/audio/,https://www.accu.co.uk/pozi-pan-head-screws/500101-SPP-M2-8-ST-BZP,5,5,8,0.14,0.03,280,0
M2 nut,M2_nut,01,regular M2 nut,6,Hardware,/boxes/audio/,https://www.accu.co.uk/hexagon-nuts/456429-HPN-M2-C8-Z,5,5,3,0.14,0.03,720,0
M2.5 bolt (6),M2_5_bolt__6_,01,6 mm long M2.5 bolt,40,Hardware,/boxes/robotics/,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2,5,5,6,0.15,0.04,2000,0
M2.5 nut,M2_5_nut,01,regular M2.5 nut,6,Hardware,/boxes/power/-,https://www.accu.co.uk/hexagon-nuts/456430-HPN-M2-5-C8-Z,5,5,3,0.14,0.03,350,0
M2.5 standoff (12/PS),M2_5_standoff__12_PS_,01,12 mm long socket-to-socket M2.5 standoff,2,Hardware,/boxes/robotics/,https://uk.farnell.com/wurth-elektronik/970120151/standoff-hex-female-female-12mm/dp/2884528,5,5,12,0.606,0.3816,95,0
M2.5 standoff (12/SS),M2_5_standoff__12_SS_,01,12 mm long socket-to-socket M2.5 standoff,4,Hardware,/boxes/robotics/,https://uk.farnell.com/wurth-elektronik/970120151/standoff-hex-female-female-12mm/dp/2884528,5,5,12,0.606,0.3816,340,0
M2.5 standoff (20/PS),M2_5_standoff__20_PS_,01,20 mm long plug-to-socket M2.5 standoff,4,Hardware,/boxes/vision/,https://uk.farnell.com/wurth-elektronik/971200151/standoff-hex-male-female-20mm/dp/2884418,5,5,20,0.6624,0.534,217,0
M2.5 standoff (20/SS),M2_5_standoff__20_SS_,01,20 mm long socket-to-socket M2.5 standoff,4,Hardware,/boxes/systems/,https://uk.farnell.com/wurth-elektronik/970200154/standoff-hex-female-female-20mm/dp/2987903,5,5,20,0.7368,0.54,204,0
M2.5 standoff (25/PS),M2_5_standoff__25_PS_,01,25 mm long plug-to-socket M2.5 standoff,4,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/971250151/standoff-hex-male-female-25mm/dp/2884431,5,5,36,0.822,0.6144,1000,0
M2.5 standoff (25/SS),M2_5_standoff__25_SS_,01,25 mm long socket-to-socket M2.5 standoff,2,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/970250154/standoff-hex-female-female-25mm/dp/2987918,5,5,30,0.9228,0.78,1000,0
M2.5 standoff (30/PS),M2_5_standoff__30_PS_,01,30 mm long plug-to-socket M2.5 standoff,6,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/971300151/standoff-hex-male-female-30mm/dp/2884445,5,5,36,0.7152,0.6,1000,0
M2.5 standoff (30/SS),M2_5_standoff__30_SS_,01,30 mm long socket-to-socket M2.5 standoff,2,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/970300154/standoff-hex-female-female-30mm/dp/2987929,5,5,30,1.392,1.1544,1000,0
M2.5 standoff (7/PS),M2_5_standoff__7_PS_,01,7 mm long plug-to-socket M2.5 standoff,4,Hardware,/boxes/power/,https://uk.farnell.com/wurth-elektronik/971070151/standoff-hex-male-female-7mm-m2/dp/2884371,5,5,7,0.4836,0.3792,458,0
M3 bolt (12),M3_bolt__12_,01,12 mm long M3 bolt,1,Hardware,/boxes/vision/,https://www.accu.co.uk/pozi-pan-head-screws/500116-SPP-M3-12-ST-BZP,5,5,12,0.14,0.03,865,0
M3 bolt (6),M3_bolt__6_,01,6 mm long M3 bolt,2,Hardware,/boxes/audio/-,https://www.accu.co.uk/pozi-pan-head-screws/500113-SPP-M3-6-ST-BZP,5,5,6,0.14,0.03,663,0
M3 nut (square),M3_nut__square_,01,square M3 nut 1.8 mm thick,7,Hardware,/boxes/audio/-,https://www.accu.co.uk/flat-square-nuts/21326-HFSN-M3-A2,5,5,3,0.16,0.05,480,0
M3 screw (16),M3_screw__16_,10,16 mm long M3 screw with phillips socket,4,Hardware,/boxes/intelligence/,https://www.accu.co.uk/pozi-pan-head-screws/500117-SPP-M3-16-ST-BZP,5,5,16,0.14,0.03,0,0
M3 standoff (15/PS),M3_standoff__15_PS_,01,15 mm long plug-to-socket M3 standoff,2,Hardware,/boxes/audio/-,https://uk.farnell.com/ettinger/05-13-151/spacer-m3x15-vzk/dp/1466726,5,5,15,0.3924,0.3444,182,0
NB3 Hindbrain,NB3_Hindbrain,10,ICE40UP5K dev board with ADC/DAC,1,Hindbrain,/boxes/fpgas/NB3_hindbrain,VK,60,30,20,50.0,35.0,2,0
12V DC Power Supply,12V_DC_Power_Supply,01,12 V AC-DC transformer (UK/EU/USA plugs),1,Loose,/boxes/power/,https://www.amazon.co.uk/gp/product/B09QG4R1R4,100,100,80,12.99,12.99,0,0
Batteries (AA),Batteries__AA_,01,AA 1.5 V alkaline battery,4,Loose,/boxes/electrons/,https://www.amazon.co.uk/Duracell-Optimum-Alkaline-Batteries-MX1500/dp/B093Q5XY66,60,15,15,5.75,3.0,0,0
Battery,Battery,01,NiMH 9.6V 8-cell 2000 mAh battery,1,Loose,/boxes/power/,https://www.amazon.co.uk/dp/B091H9ZFSF,100,60,15,16.99,16.99,1,0
Battery Cable,Battery_Cable,01,Barrel Jack to Tamiya Plug,1,Loose,/boxes/power/,VK,100,15,15,5.0,2.0,14,0
Battery Charger,Battery_Charger,01,NiMH battery charger (UK plug),1,Loose,/boxes/power/,https://www.amazon.co.uk/dp/B089VRXKWY,90,90,70,15.99,15.99,0,0
Battery holder,Battery_holder,01,4xAA battery holder with ON-OFF switch,1,Loose,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B0814ZH68F,65,70,20,3.0,2.0,8,3
Breadboard (400),Breadboard__400_,01,400-tie solderless breadboard,1,Loose,/boxes/electrons/_resources/datasheets/breadboard_400.pdf,https://www.amazon.co.uk/gp/product/B0739XRX8F,85,60,10,4.0,2.3,16,0
Breadboards (170),Breadboards__170_,01,170-tie solderless breadboard,4,Loose,/boxes/electrons/_resources/datasheets/breadboard_170.pdf,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7,35,50,10,2.0,1.0,16,0
Camera (RPi v3),Camera__RPi_v3_,01,RPi color camera with auto-focus (version 3),1,Loose,/boxes/vision/_resources/datasheets/rpi_camera_v3.pdf,https://uk.farnell.com/raspberry-pi/sc0872/rpi-camera-mod-3-standard-lens/dp/4132318,120,75,23,23.808,23.808,1,0
Caster,Caster,01,¾” metal ball caster,1,Loose,/boxes/robotics/https://www.pololu.com/product/955,https://www.pololu.com/product/955,70,50,20,3.95,3.08,118,0
Clicker,Clicker,10,Loud sound maker (and whistle),1,Loose,/boxes/learning/,https://www.amazon.co.uk/Clicker-Multi-Color-Diyife-Training-Wrist/dp/B076LZ4XGK,70,20,30,2.5,1.5,0,0
Computer (RPi4),Computer__RPi4_,01,Raspberry Pi 4b with 2 GB RAM,1,Loose,/boxes/systems/_resources/datasheets/rpi4b.pdf,https://uk.farnell.com/raspberry-pi/rpi4-modbp-2gb/raspberry-pi-4-model-b-2gb/dp/3051886,95,70,26,42.852,42.852,0,8
DC Brushed Motor,DC_Brushed_Motor,01,6V Brushed DC motor,1,Loose,/boxes/motors/,https://www.amazon.co.uk/Gikfun-1V-6V-Hobby-Arduino-EK1894/dp/B07BHHP2BT,20,40,15,2.5,1.25,2,0
DC Gearbox Motor,DC_Gearbox_Motor,10,TT Gearbox DC Motor - 200RPM - 3 to 6VDC and wheel,2,Loose,/boxes/control/,https://www.amazon.co.uk/AEDIKO-Motor-Gearbox-Shaft-200RPM/dp/B09V7QH1S8,130,70,30,4.0,2.5,0,0
Heatsinks,Heatsinks,01,Heatsinks for RPi 4b chips,1,Loose,/boxes/systems/_resources/datasheets/rpi4b_heatsinks.jpg,https://www.amazon.co.uk/gp/product/B07VRNT3HX,40,20,10,3.5,2.0,15,0
Jumper Kit,Jumper_Kit,01,Kit of multi-length 22 AWG breadboard jumpers,1,Loose,/boxes/electrons/_resources/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338,170,55,15,5.976,4.296,10,18
Microcontroller,Microcontroller,01,Arduino Nano (rev.3),1,Loose,/boxes/computers/_resources/datasheets/arduino_nano_rev3.pdf,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691,82,60,25,18.516,18.516,0,6
NB3 Body,NB3_Body,01,NB3 robot base PCB,1,Loose,/boxes/electrons/NB3_body,VK,200,200,11,30.0,20.0,60,5
NPU,NPU,10,Coral EdgeTPU USB Type-C,1,Loose,/boxes/intelligence/_resources/datasheets/Coral-USB-Accelerator-datasheet.pdf,https://coral.ai/products/accelerator/,100,140,30,51.05,51.05,3,0
Periodic Table,Periodic_Table,01,Periodic Table business card,1,Loose,/boxes/atoms/card,VK,40,60,1,1.0,0.1,0,0
SD Card,SD_Card,01,16 GB micro SD card,1,Loose,/boxes/systems/_resources/datasheets/SanDisk-SDSQUAR-016G-GN6MA-datasheet.pdf,https://uk.farnell.com/integral/inmsdh16g-100v10/16gb-microsdhc-v10-uhs-i-u1/dp/3498606,100,50,3,5.652,5.652,1,0
Secret Message,Secret_Message,10,A SHA256 encrypted message (in HEX),1,Loose,/boxes/security/,,100,60,1,0.0,0.0,0,0
Servo Motor,Servo_Motor,01,FT90R Digital Micro Continuous Rotation Servo,2,Loose,/boxes/control/,https://www.pololu.com/product/2817,100,70,15,8.95,5.0,0,0
Servo Wheel,Servo_Wheel,01,Wheels (70x8mm) for servos,2,Loose,/boxes/control/,https://www.pololu.com/product/4925,100,70,15,3.5,2.5,0,0
Speaker,Speaker,01,3 Watt 4 Ohm with Dupont 2.54 mm socket,1,Loose,/boxes/audio/_resources/datasheets/CQR0508.jpg,https://www.amazon.co.uk/dp/B09JJ28D6R,70,30,15,4.0,2.0,15,10
Speaker (Hi-Fi),Speaker__Hi_Fi_,01,3 Watt 4 Ohm with Dupont 2.54 mm socket (High Fidelity: 2831/3128),1,Loose,/boxes/audio/_resources/datasheets/3128_3W_4Ohm.jpg,https://www.amazon.co.uk/gp/product/B0D9QXW5FF,44,30,15,4.79,2.0,16,0
Stereo Plug Terminal,Stereo_Plug_Terminal,01,3.5 mm plug to screw terminal,2,Loose,/boxes/magnets/,https://www.amazon.co.uk/dp/B07MNYBFL9,40,20,15,2.0,1.0,22,0
USB SD Card IO,USB_SD_Card_IO,01,SD card reader/writer,1,Loose,/boxes/systems/,https://www.amazon.co.uk/Beikell-High-speed-Adapter-Supports-MMC-Compatible-Windows/dp/B07L9VT8YY,70,40,15,4.07,4.07,0,1
USB Sound Card,USB_Sound_Card,01,USB to 3.5 mm Audio out/in,1,Loose,/boxes/magnets/,https://www.amazon.co.uk/UGREEN-USB-C-3-5mm-Female-Adapter-dp-B08TR7LWQH/dp/B08TR7LWQH,150,90,15,8.98,8.98,6,7
Velcro Patch,Velcro_Patch,01,Velcro adhesive,1,Loose,/boxes/power/,https://www.amazon.co.uk/50mmx100mm-Adhesive-Strips%EF%BC%8CExtra-Mounting-Organizing/dp/B0CKVNM69R,50,75,4,2.0,0.5,25,0
Magnet,Magnet,01,Neodymium disc (8 mm x 3 mm),4,Magnets,/boxes/magnets/,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,20,20,5,0.5136,0.4416,0,0
Motor Mount,Motor_Mount,10,Mount for TT Gearbox DC Motors - L-Bracket Type with hardware,2,Mounts,/boxes/robotics/,https://www.adafruit.com/product/3768,25,25,25,1.5,1.5,0,0
NB3 Camera Mount,NB3_Camera_Mount,01,Custom laser cut mount for RPi camera,1,Mounts,/boxes/vision/NB3_camera_mount,VK,40,30,5,3.0,1.0,0,0
NB3 Cortex Mount,NB3_Cortex_Mount,01,Custom laser cut holder for NPU,1,Mounts,/boxes/vision/NB3_cortex_mount,VK,75,65,5,4.0,2.0,0,0
Servo Mount,Servo_Mount,01,Mount for servo motor,2,Mounts,/boxes/robotics/,VK,30,15,5,2.0,0.75,0,0
Spacer,Spacer,01,NB3 spacer 3 mm spacer for mounting ball caster,5,Mounts,/boxes/robotics/NB3_spacer,VK,25,25,5,0.5,0.25,0,0
Speaker Frame,Speaker_Frame,01,Custom laser cut frame for speaker,1,Mounts,/boxes/audio/-,VK,75,50,5,3.0,1.0,0,0
Speaker Mount,Speaker_Mount,01,Custom laser cut mount for speaker,1,Mounts,/boxes/audio/-,VK,75,20,5,3.0,1.0,0,0
Button,Button,10,Tactile switch,2,Passive,/boxes/electrons/_resources/datasheets/button.pdf,https://uk.farnell.com/omron/b3f-1000/switch-spno-0-05a-24v-tht-0-98n/dp/176432,5,5,3,0.2148,0.1788,0,0
Capacitor (large),Capacitor__large_,10,100 uF aluminum electrolytic capacitor,1,Passive,/boxes/electrons/_resources/datasheets/capacitor_electrolytic.pdf,https://uk.farnell.com/rubycon/16zlh100mefc5x11/cap-100-f-16v-20/dp/8126283,50,4,4,0.09,0.0504,0,0
Capacitor (small),Capacitor__small_,10,0.1 uF ceramic capacitor,1,Passive,/boxes/electrons/_resources/datasheets/capacitor_ceramic.pdf,https://uk.farnell.com/kemet/c322c104k1r5ta/cap-0-1-f-100v-10-x7r/dp/1457685,50,2,2,0.3732,0.3012,0,0
Inductor,Inductor,10,1 mH toroidal inductor,1,Passive,/boxes/magnets/_resources/datasheets/inductor_toroidal.pdf,https://uk.farnell.com/bourns/2124-v-rc/inductor-1000uh-15-1-3a-toroid/dp/1929753,30,30,15,3.06,1.776,0,0
Magnet Wire,Magnet_Wire,01,Narrow gauge epoxy insulated (1 m),1,Passive,/boxes/magnets/,https://www.amazon.co.uk/sourcing-map-Enameled-Transformers-Inductors/dp/B0CYP8L4L1,30,30,20,12.59,0.1259,0,0
Photoresistor (LDR),Photoresistor__LDR_,01,Light-dependent resistor (GL5516 and GL5528),4,Passive,/boxes/sensors/,https://uk.farnell.com/advanced-photonix/nsl-19m51/light-dependent-resistor-550nm/dp/3168335,50,10,3,1.14,0.7584,120,0
Piezo,Piezo,10,Piezo element,1,Passive,/boxes/sensors/_resources/datasheets/piezo.pdf,https://uk.farnell.com/multicomp/mcabt-455-rc/audio-element-piezo-2-8khz-35mm/dp/2433035,50,50,3,1.932,1.644,0,0
Piezo Buzzer,Piezo_Buzzer,01,Piezoelectric speaker/transducer,1,Passive,/boxes/computers/_resources/datasheets/piezo_buzzer.pdf,https://uk.farnell.com/tdk/ps1240p02bt/piezoelectric-buzzer-4khz-70dba/dp/3267212,30,30,1,0.4296,0.3576,63,0
Potentiometer,Potentiometer,01,2.2 k&Omega; variable resistor,2,Passive,/boxes/electrons/_resources/datasheets/pot_2k2.pdf,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,5,5,3,0.9708,0.72,630,0
Resistor (10k),Resistor__10k_,01,10 k&Omega;/0.25 W,2,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,50,2,2,0.0696,0.0504,0,0
Resistor (1k),Resistor__1k_,01,1 k&Omega;/0.25 W,2,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-1k/res-1k-1-250mw-axial-metal-film/dp/9341102,50,2,2,0.0702,0.051,0,0
Resistor (330),Resistor__330_,10,330 &Omega;/0.25 W,6,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-330r/res-330r-1-250mw-axial-metal-film/dp/9341730,50,2,2,0.0696,0.0504,0,0
Resistor (470),Resistor__470_,01,470 &Omega;/0.25 W,4,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,50,2,2,0.0685,0.0498,0,0
Rubber feet,Rubber_feet,01,Adhesive rubber standoffs (1421T6CL),4,Passive,/boxes/electrons/_resources/datasheets/rubber_feet.pdf,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,20,20,4,0.2965,0.229,0,0
Thermistor,Thermistor,10,Temperature sensitive resistor,2,Passive,/boxes/sensors/_resources/datasheets/thermistor.pdf,https://uk.farnell.com/epcos/b57891m0103k000/thermistor-ntc-radial-leaded/dp/2285471,50,10,3,0.6456,0.5376,0,0
NB3 Power Board,NB3_Power_Board,01,Regulated DC-DC power supply (5 Volts - 4 Amps),1,Power,/boxes/power/NB3_power,VK,50,50,15,30.0,20.0,52,1
Power Cable,Power_Cable,01,Custom 4 pin NB3 power connector cable,1,Power,/boxes/power/,VK,50,10,5,5.0,3.0,0,0
