name,depth,description,quantity,#kits,#required,#available,#order,#ordered,package,datasheet,supplier,x,y,z,unit_price,bulk_price
Battery holder,1,4xAA battery holder with ON-OFF switch,1,15,15,0,0,0,Loose,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B0814ZH68F,65,70,20,,
Breadboard (400),1,400-tie solderless breadboard,1,15,15,0,0,0,Loose,/boxes/electrons/_resources/datasheets/breadboard_400.pdf,https://www.amazon.co.uk/gp/product/B0739XRX8F,85,60,10,,
Breadboards (170),1,170-tie solderless breadboard,4,15,60,0,0,0,Loose,/boxes/electrons/_resources/datasheets/breadboard_170.pdf,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7,35,50,10,,
Camera (RPi v3),1,RPi color camera with auto-focus (version 3),2,15,30,0,0,0,Loose,/boxes/vision/_resources/datasheets/rpi_camera_v3.pdf,https://uk.farnell.com/raspberry-pi/sc0872/rpi-camera-mod-3-standard-lens/dp/4132318,120,75,23,,
Caster,1,¾” metal ball caster,1,15,15,0,0,0,Loose,/boxes/robotics/https://www.pololu.com/product/955,https://www.pololu.com/product/955,70,50,20,,
Computer (RPi4),1,Raspberry Pi 4b with 2 GB RAM,1,15,15,0,0,0,Loose,/boxes/systems/_resources/datasheets/rpi4b.pdf,https://uk.farnell.com/raspberry-pi/rpi4-modbp-2gb/raspberry-pi-4-model-b-2gb/dp/3051886,95,70,26,,
DC Brushed Motor,1,6V Brushed DC motor,1,15,15,0,0,0,Loose,/boxes/motors/,https://www.amazon.co.uk/Gikfun-1V-6V-Hobby-Arduino-EK1894/dp/B07BHHP2BT,20,40,15,,
Heatsinks,1,Heatsinks for RPi 4b chips,1,15,15,0,0,0,Loose,/boxes/systems/_resources/datasheets/rpi4b_heatsinks.jpg,https://www.amazon.co.uk/gp/product/B07VRNT3HX,40,20,10,,
Jumper Kit,1,Kit of multi-length 22 AWG breadboard jumpers,1,15,15,0,0,0,Loose,/boxes/electrons/_resources/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338,170,55,15,,
Microcontroller,1,Arduino Nano (rev.3),1,15,15,0,0,0,Loose,/boxes/computers/_resources/datasheets/arduino_nano_rev3.pdf,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691,82,60,25,,
NB3 Body,1,NB3 robot base PCB,1,15,15,0,0,0,Loose,/boxes/electrons/NB3_body,VK,200,200,11,,
Periodic Table,1,Periodic Table business card,1,15,15,0,0,0,Loose,/boxes/atoms/card,VK,40,60,1,1.0,0.1
SD Card,1,16 GB micro SD card,1,15,15,0,0,0,Loose,/boxes/systems/_resources/datasheets/SanDisk-SDSQUAR-016G-GN6MA-datasheet.pdf,https://uk.farnell.com/sandisk/sdsquar-016g-gn6ma/memory-card-microsdhc-uhs-i-16gb/dp/2931924,100,50,3,,
