Atoms,0.125,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Electrons,14.375,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Magnets,28.625,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Sensors,42.875,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Motors,57.125,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Transistors,71.375,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Data,85.625,0.125,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
Logic,0.125,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Memory,14.375,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Computers,28.625,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Control,42.875,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Robotics,57.125,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Power,71.375,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Systems,85.625,14.375,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
Linux,0.125,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Python,14.375,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Networks,28.625,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Websites,42.875,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Servers,57.125,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Audio,71.375,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Vision,85.625,28.625,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
