Actives Bag,Small anti-static bag,01,1,,,Packaging,75,100,1
PCB Bag,Large anti-static bag,1,01,,,Packaging,100,125,1
Passives Bag,Small clear plastic bag,01,1,,,Packaging,70,90,1
Hardware Bag,Medium clear plastic bag,01,1,,,Packaging,70,105,1
Mounts Bag,Large clear plastic bag,01,1,,,Packaging,100,140,1
