Atoms,0.125,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Electrons,14.375,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Magnets,28.625,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Light,42.875,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Sensors,57.125,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Motors,71.375,0.125,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Transistors,85.625,0.125,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
Amplifiers,0.125,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Circuits,14.375,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Data,28.625,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Logic,42.875,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Memory,57.125,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
FPGAs,71.375,14.375,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Computers,85.625,14.375,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
Control,0.125,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Robotics,14.375,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Power,28.625,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Systems,42.875,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Linux,57.125,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Python,71.375,28.625,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Networks,85.625,28.625,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
Websites,0.125,42.875,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Servers,14.375,42.875,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Security,28.625,42.875,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Audio,42.875,42.875,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Vision,57.125,42.875,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Learning,71.375,42.875,13.0,13.0,0.125,#000000,#FFFFFF,1,1.75
Intelligence,85.625,42.875,13.0,13.0,0.125,#000000,#FFFFFF,0,1.75
